0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0
0,1,2,3,3,3,3,3,3,3,3,3,3,3,3,0
0,1,2,3,4,4,4,4,4,4,4,4,4,4,4,0
0,1,2,3,4,5,5,5,5,5,5,5,5,5,5,0
0,1,2,3,4,5,6,6,6,6,6,6,6,6,6,0
0,1,2,3,4,5,6,7,7,7,7,7,7,7,7,0
0,1,2,3,4,5,6,7,8,8,8,8,8,8,8,0
0,1,2,3,4,5,6,7,8,9,9,9,9,9,9,0
0,1,2,3,4,5,6,7,8,9,10,10,10,10,10,0
0,1,2,3,4,5,6,7,8,9,10,11,12,11,11,0
0,1,2,3,4,5,6,7,8,9,10,11,12,12,12,0
0,1,2,3,4,5,6,7,8,9,10,11,12,13,13,0
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
