0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20
0,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,20
0,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,20
0,1,2,3,4,5,5,5,5,5,5,5,5,5,5,5,20
0,1,2,3,4,5,6,6,6,6,6,6,6,6,6,6,20
0,1,2,3,4,5,6,7,7,7,7,7,7,7,7,7,20
0,1,2,3,4,5,6,7,8,8,8,8,8,8,8,8,20
0,1,2,3,4,5,6,7,8,9,9,9,9,9,9,9,20
0,1,2,3,4,5,6,7,8,9,10,10,10,10,10,10,20
0,1,2,3,4,5,6,7,8,9,10,11,11,11,11,11,20
0,1,2,3,4,5,6,7,8,9,10,11,12,12,12,12,20
0,1,2,3,4,5,6,7,8,9,10,11,12,13,13,13,20
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,14,20
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,20
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
